Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
LeftS00003,4.0083,-0.4664,2.859e-20,3.404e-20,3.562e-20,-0.0003,72.52,0
LeftS00006,4.0133,-0.4396,6.398e-19,1.227e-18,3.348e-18,-0.0001,72.22,0
LeftS00009,3.9658,-0.4640,9.113e-19,8.172e-19,4.853e-19,0.0004,72.3,0
LeftS00017,4.0602,-0.4792,3.191e-19,3.162e-19,2.215e-19,0.0003,72.38,0
LeftS00019,3.9987,-0.4573,3.203e-20,3.757e-20,3.622e-20,-0.001,72.22,0
LeftS00021,3.9846,-0.4464,1.074e-20,1.426e-20,1.806e-20,0.0002,72.42,0
LeftS00022,4.0272,-0.4508,6.630e-19,6.174e-19,3.904e-19,-0.0003,72.26,0
LeftS00026,4.0019,-0.4424,1.615e-19,1.735e-19,1.436e-19,0.0002,72.11,0
LeftS00027,4.0108,-0.4429,4.337e-14,3.006e-14,1.051e-14,-0.0001,72.11,0
LeftS00030,3.9898,-0.4618,3.297e-19,5.361e-19,1.024e-18,-0.0009,72.37,0
LeftS00042,4.0191,-0.4413,8.122e-14,6.224e-14,2.581e-14,0.0002,72.08,1
LeftS00043,3.9613,-0.3999,7.152e-20,7.808e-20,6.967e-20,0.0007,72.21,0
LeftS00046,4.0279,-0.4613,2.478e-20,3.030e-20,3.322e-20,-0.0008,72.35,0
LeftS00052,4.0114,-0.4398,1.239e-19,1.370e-19,1.179e-19,-0.0001,72.22,0
LeftS00056,4.0235,-0.4156,5.348e-14,3.797e-14,1.385e-14,-0.0,72.18,0
LeftS00060,4.0159,-0.4525,1.239e-19,1.384e-19,1.274e-19,-0.0008,72.26,0
LeftS00067,4.0033,-0.4717,3.789e-20,4.530e-20,4.649e-20,0.0006,72.35,0
LeftS00070,4.1418,-0.4576,2.680e-18,5.954e-18,2.252e-17,0.0,72.1,0
LeftS00072,4.0377,-0.4151,1.396e-20,1.814e-20,2.247e-20,0.0004,72.11,0
LeftS00073,4.0183,-0.3685,1.010e-20,1.296e-20,1.611e-20,0.0008,72.13,0
LeftS00075,4.0180,-0.4489,2.564e-19,2.516e-19,1.775e-19,0.0007,72.29,0
LeftS00079,4.0312,-0.4678,4.335e-19,4.334e-19,3.016e-19,-0.0005,72.37,0
LeftS00092,4.0214,-0.4718,2.383e-18,1.926e-18,9.311e-19,0.0004,72.36,0
LeftS00093,4.0207,-0.4554,8.196e-19,1.496e-18,3.664e-18,-0.0009,72.31,0
LeftS00101,4.0145,-0.4622,1.092e-18,1.664e-18,2.793e-18,0.0001,72.44,0
LeftS00107,4.0456,-0.4664,6.699e-20,7.701e-20,7.262e-20,-0.0002,72.31,0
LeftS00108,4.0173,-0.4855,2.453e-18,4.348e-18,1.016e-17,0.0004,72.2,0
LeftS00112,4.0481,-0.4047,7.128e-20,7.944e-20,7.096e-20,0.0002,72.14,0
LeftS00117,3.9656,-0.4534,2.508e-18,3.601e-18,5.407e-18,-0.0003,72.13,0
LeftS00118,4.0164,-0.4672,3.239e-19,3.067e-19,1.973e-19,-0.0004,72.33,0
LeftS00119,4.0443,-0.4160,6.600e-20,7.429e-20,6.689e-20,0.0002,72.14,0
LeftS00126,4.0240,-0.4319,8.966e-19,1.834e-18,5.610e-18,-0.0007,71.97,0
LeftS00127,4.0357,-0.4543,7.841e-19,6.828e-19,3.674e-19,0.0004,72.12,0
LeftS00130,4.0051,-0.4483,4.976e-14,3.663e-14,1.460e-14,0.0002,72.15,0
LeftS00135,3.9803,-0.4444,9.649e-19,1.594e-18,3.206e-18,0.0003,72.09,0
LeftS00140,4.0002,-0.4715,2.288e-19,2.383e-19,1.834e-19,0.0005,72.42,0
LeftS00141,4.0182,-0.4572,2.383e-14,1.611e-14,5.426e-15,0.0001,72.29,0
LeftS00143,4.0091,-0.4439,2.808e-20,3.475e-20,3.833e-20,-0.0,72.06,0
LeftS00144,4.0217,-0.4695,1.681e-19,1.848e-19,1.584e-19,0.0007,72.29,0
LeftS00147,3.9896,-0.5669,1.603e-18,1.370e-18,7.072e-19,-0.0,72.22,0
LeftS00149,3.9946,-0.4576,1.207e-18,1.062e-18,5.871e-19,-0.0011,72.33,0
LeftS00153,4.0117,-0.4507,4.534e-20,5.289e-20,5.348e-20,-0.0017,72.16,0
LeftS00154,4.0057,-0.4570,3.071e-18,2.537e-18,1.231e-18,0.0004,72.09,0
LeftS00161,4.0016,-0.4537,7.964e-20,8.439e-20,6.649e-20,0.0004,72.14,0
LeftS00163,3.9994,-0.4462,6.725e-20,7.651e-20,7.224e-20,-0.0005,72.12,0
LeftS00165,4.0123,-0.4182,1.318e-19,1.391e-19,1.149e-19,0.0001,72.14,0
LeftS00169,4.0125,-0.4466,4.147e-19,4.226e-19,3.094e-19,-0.0003,72.14,0
LeftS00171,4.0127,-0.4824,4.013e-19,4.038e-19,2.988e-19,-0.0006,72.45,0
LeftS00172,4.0409,-0.4260,2.292e-19,2.386e-19,1.806e-19,-0.0003,72.14,0
