Name,X,Y,BlueF,GreenF,RedF,Size,RadialVelocity
RightDG0016,19.9641,19.7960,2.070e-17,1.942e-17,7.671e-18,96.162,638.77
RightDG0093,5.6565,-44.3149,9.632e-18,8.506e-18,3.482e-18,112.8078,1127.02
RightDG0094,5.6506,-44.3801,1.392e-17,1.194e-17,5.913e-18,58.7114,1126.88
RightDG0095,5.6619,-44.3553,1.508e-17,1.330e-17,5.535e-18,62.9986,1127.28
RightDG0096,5.7680,-44.3797,1.493e-17,1.304e-17,5.949e-18,62.8722,1126.97
RightDG0097,5.5214,-44.4726,1.977e-17,1.767e-17,7.271e-18,48.9996,1127.01
RightDG0098,5.5909,-44.3032,1.411e-17,1.217e-17,5.924e-18,48.3544,1127.18
RightDG0099,5.6015,-44.0580,1.552e-17,1.277e-17,5.925e-18,64.3481,1127.21
RightDG0123,5.3889,33.9812,9.957e-18,8.445e-18,3.971e-18,38.4674,1347.94
RightDG0124,5.4460,33.9736,1.051e-17,9.015e-18,4.418e-18,50.226,1347.81
RightDG0138,12.1239,-42.5465,2.953e-17,2.268e-17,8.627e-18,75.5845,1311.49
RightDG0139,12.1076,-42.6142,8.338e-18,6.482e-18,3.189e-18,77.8692,1311.18
RightDG0140,12.1806,-42.2721,1.015e-17,8.381e-18,3.870e-18,42.9054,1311.48
RightDG0141,12.0894,-42.9030,1.094e-17,9.257e-18,3.854e-18,54.4298,1311.48
RightDG0142,12.3732,-42.6280,1.038e-17,8.166e-18,3.655e-18,39.9674,1311.84
RightDG0143,12.0335,-42.3934,1.128e-17,9.855e-18,4.622e-18,51.937,1311.64
RightDG0144,12.3258,-42.7409,1.125e-17,9.356e-18,4.125e-18,46.0716,1311.51
RightDG0145,12.1507,-42.4541,7.750e-18,6.402e-18,2.922e-18,80.4096,1311.66
RightDG0146,12.2163,-42.5246,1.108e-17,8.721e-18,3.704e-18,52.8413,1311.69
RightDG0147,11.9397,-42.3458,1.044e-17,8.946e-18,3.933e-18,51.6615,1311.22
RightDG0148,11.8765,-42.5338,1.066e-17,8.877e-18,4.186e-18,46.3358,1311.68
RightDG0149,12.1742,-42.7023,7.184e-18,5.715e-18,2.748e-18,86.9903,1311.53
RightDG0150,12.2110,-42.5266,9.186e-18,8.586e-18,3.721e-18,40.2872,1311.41
RightDG0151,12.1813,-42.5049,1.532e-17,1.202e-17,4.658e-18,46.0217,1311.83
RightDG0157,-20.7268,3.4548,7.509e-18,6.509e-18,2.831e-18,68.0087,1272.59
RightDG0158,-20.7821,3.5238,7.398e-18,5.558e-18,2.977e-18,50.0851,1272.29
RightDG0159,-20.7882,3.4112,1.027e-17,8.748e-18,4.000e-18,40.7825,1272.45
RightDG0160,-20.7133,3.4112,1.094e-17,9.032e-18,3.892e-18,41.7518,1272.37
RightDG0161,-20.6549,3.4801,1.013e-17,9.246e-18,4.045e-18,40.9991,1272.44
RightDG0271,-16.9755,1.5302,1.126e-17,8.542e-18,3.965e-18,98.392,1101.85
RightDG0272,-17.0810,1.4419,1.371e-17,1.053e-17,5.256e-18,47.6462,1102.26
RightDG0273,-16.8830,1.5138,1.385e-17,1.205e-17,4.999e-18,48.2951,1101.89
RightDG0274,-16.9101,1.5986,2.046e-17,1.578e-17,6.422e-18,45.3492,1102.28
RightDG0275,-16.8881,1.5307,1.420e-17,1.337e-17,5.808e-18,46.9265,1101.93
RightDG0276,-17.0716,1.5537,1.577e-17,1.331e-17,5.787e-18,55.2302,1102.01
RightDG0277,26.9268,25.1417,1.463e-17,1.087e-17,5.104e-18,63.1066,910.32
RightDG0296,-6.4767,15.3697,4.032e-17,3.084e-17,9.717e-18,134.8716,1162.41
RightDG0297,-6.6070,15.3713,1.443e-17,1.110e-17,5.386e-18,65.5327,1162.68
RightDG0298,-6.3405,15.2736,1.536e-17,1.130e-17,4.690e-18,62.9153,1162.27
RightDG0299,-6.6103,15.2327,1.232e-17,1.110e-17,5.349e-18,68.8994,1162.46
RightDG0300,-6.4822,15.4612,1.345e-17,1.076e-17,5.425e-18,55.7602,1162.44
RightDG0301,-6.2887,15.4123,9.557e-18,7.873e-18,3.522e-18,69.6358,1162.17
RightDG0302,-6.7305,15.5305,1.527e-17,1.105e-17,5.414e-18,69.5617,1162.46
RightDG0303,-6.2689,15.4603,1.322e-17,1.065e-17,4.623e-18,46.931,1162.52
RightDG0304,-6.2456,15.4157,1.845e-17,1.614e-17,5.771e-18,48.4865,1162.26
RightDG0305,-6.3268,15.4372,1.379e-17,1.163e-17,5.406e-18,49.3421,1162.01
RightDG0306,-6.2924,15.2515,1.563e-17,1.301e-17,5.597e-18,59.0229,1162.42
RightDG0307,-6.5608,15.5482,8.891e-18,8.057e-18,3.569e-18,85.1328,1162.34
