Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
BackS062031,38.9735,13.3365,7.288e-19,1.458e-18,4.422e-18,0.0004,-149.18,0
BackS062038,38.9824,13.3206,7.048e-19,6.887e-19,4.825e-19,-0.0001,-147.87,0
BackS062043,39.0127,13.3183,1.839e-18,3.588e-18,1.050e-17,0.0005,-151.29,0
BackS062044,39.0636,13.3284,1.609e-19,1.681e-19,1.299e-19,0.0001,-152.05,0
BackS062046,38.8967,13.3200,9.951e-20,1.054e-19,8.669e-20,-0.0007,-147.46,0
BackS062063,38.5724,13.3190,1.518e-20,2.009e-20,2.557e-20,-0.0007,-147.34,0
BackS062067,39.0042,13.3181,2.978e-20,3.445e-20,3.484e-20,0.0003,-150.99,0
BackS062068,38.9129,13.3447,3.026e-18,6.074e-18,1.904e-17,-0.0001,-148.83,0
BackS062071,39.0200,13.3278,1.564e-18,1.383e-18,7.597e-19,-0.0005,-150.77,0
BackS062075,38.9830,13.2995,4.380e-19,6.898e-19,1.325e-18,-0.0001,-149.71,0
BackS062080,39.2529,13.3337,3.710e-18,3.024e-18,1.404e-18,0.0,-152.11,0
BackS062082,38.9948,13.3186,9.779e-18,7.651e-18,3.267e-18,-0.0001,-151.34,1
BackS062090,38.9985,13.3221,1.376e-20,1.711e-20,1.917e-20,-0.0004,-150.82,0
BackS062095,38.9860,13.3195,4.441e-20,5.198e-20,5.255e-20,0.0005,-148.02,0
BackS062097,39.0361,13.3170,2.820e-19,2.950e-19,2.331e-19,-0.0001,-151.72,0
BackS062101,39.0048,13.3242,8.108e-19,7.472e-19,4.536e-19,-0.0,-151.21,0
BackS062107,38.9866,13.3224,1.456e-17,1.129e-17,4.867e-18,-0.0005,-148.1,1
BackS062111,39.0463,13.3070,4.377e-20,5.021e-20,5.000e-20,-0.0007,-150.94,0
BackS062112,38.9783,13.3261,1.083e-18,1.683e-18,3.048e-18,-0.0005,-148.07,0
BackS062115,39.0881,13.3090,1.705e-19,1.767e-19,1.376e-19,-0.0001,-151.6,0
BackS062120,38.9498,13.3278,5.631e-19,1.244e-18,4.653e-18,-0.0004,-147.82,0
BackS062121,38.9804,13.3163,6.481e-20,7.501e-20,7.575e-20,0.0007,-148.02,0
BackS062130,38.9484,13.3219,8.072e-20,8.737e-20,7.025e-20,-0.0005,-148.06,0
BackS062131,39.0327,13.3042,1.151e-18,1.782e-18,3.275e-18,-0.0001,-151.01,0
BackS062133,39.0352,13.3161,1.140e-20,1.457e-20,1.685e-20,0.0005,-151.25,0
BackS062138,39.2435,13.3199,4.668e-20,5.574e-20,5.948e-20,0.0008,-152.25,0
BackS062141,38.9772,13.3172,6.243e-20,6.982e-20,6.373e-20,0.0004,-148.82,0
BackS062142,38.9864,13.3159,2.332e-18,1.864e-18,8.468e-19,0.0004,-149.16,0
