Name,X,Y,BlueF,GreenF,RedF,Parallax,RadialVelocity,Variable?
FrontS037921,24.9039,9.8613,2.180e-14,1.494e-14,5.272e-15,0.0002,-105.04,0
FrontS037922,24.9394,9.7933,2.528e-19,2.442e-19,1.689e-19,0.0006,-108.62,0
FrontS037923,24.8982,9.8334,4.164e-20,4.796e-20,4.728e-20,-0.0,-105.18,0
FrontS037925,24.8783,9.7742,8.005e-18,6.121e-18,2.482e-18,0.0012,-107.16,0
FrontS037933,24.8972,9.8242,3.441e-18,2.976e-18,1.637e-18,0.0003,-105.99,0
FrontS037937,24.8310,9.8033,4.830e-20,5.394e-20,4.830e-20,-0.0002,-105.64,0
FrontS037938,24.8808,9.8383,1.617e-20,2.064e-20,2.493e-20,-0.0001,-107.77,0
FrontS037939,24.8869,9.8596,4.721e-18,7.687e-18,1.439e-17,0.0007,-104.65,0
FrontS037941,24.9165,9.8730,1.325e-20,1.632e-20,1.823e-20,-0.0003,-103.86,0
FrontS037942,24.9387,9.8242,1.055e-19,1.146e-19,1.004e-19,-0.0004,-105.58,0
FrontS037943,24.9089,9.8392,1.817e-18,1.511e-18,7.528e-19,0.0005,-106.65,0
FrontS037945,24.8712,9.8566,5.647e-18,4.592e-18,2.160e-18,-0.0014,-109.4,0
FrontS037946,24.9006,9.8131,1.404e-18,1.240e-18,7.141e-19,0.0007,-108.31,0
FrontS037947,24.9007,9.8428,8.473e-19,7.537e-19,4.272e-19,-0.0002,-107.67,0
FrontS037949,24.9287,9.8162,2.067e-20,2.610e-20,3.029e-20,-0.0009,-105.8,0
FrontS037952,24.8732,9.8237,2.617e-19,2.625e-19,1.933e-19,-0.0007,-108.73,0
FrontS037954,24.8729,9.8392,1.790e-20,2.263e-20,2.606e-20,0.0002,-109.62,0
FrontS037956,24.8846,9.8233,4.402e-20,5.300e-20,5.477e-20,0.0003,-108.28,0
FrontS037957,24.8979,9.7792,5.562e-18,1.314e-17,5.596e-17,-0.0003,-108.47,0
FrontS037958,24.8957,9.8384,2.430e-18,4.543e-18,1.201e-17,0.0003,-106.2,0
FrontS037959,24.9281,9.8233,6.326e-19,1.310e-18,4.317e-18,0.001,-104.74,0
FrontS037962,24.9178,9.7888,1.015e-18,9.263e-19,5.545e-19,-0.0,-107.78,0
FrontS037964,24.8940,9.8647,4.760e-14,4.045e-14,2.058e-14,-0.0001,-105.75,1
FrontS037965,24.8822,9.7938,1.657e-20,2.097e-20,2.420e-20,-0.0006,-105.58,0
FrontS037969,24.8844,9.8292,3.615e-19,3.534e-19,2.415e-19,0.0006,-105.72,0
FrontS037973,24.9089,9.8837,2.358e-17,1.807e-17,7.756e-18,-0.0002,-106.15,1
FrontS037974,24.8946,9.8400,1.823e-19,1.908e-19,1.507e-19,-0.0007,-106.27,0
FrontS037977,24.8406,9.7686,1.315e-19,1.456e-19,1.311e-19,0.0004,-102.55,0
FrontS037978,24.9022,9.7995,2.960e-18,7.118e-18,3.185e-17,0.0002,-108.17,0
FrontS037979,24.8522,9.8559,6.904e-19,1.146e-18,2.321e-18,-0.0003,-110.76,0
FrontS037980,24.8897,9.7936,1.221e-14,8.196e-15,2.676e-15,0.0008,-107.85,0
FrontS037982,24.9342,9.8549,6.443e-20,7.574e-20,7.526e-20,-0.0004,-109.82,0
FrontS037984,24.8904,9.8306,1.000e-17,7.996e-18,3.600e-18,-0.001,-104.31,0
FrontS037985,24.8770,9.7937,6.288e-20,7.518e-20,7.659e-20,0.0003,-105.08,0
FrontS037987,24.8863,9.8181,3.696e-14,2.616e-14,9.295e-15,-0.0001,-104.11,0
FrontS037988,24.9045,9.8012,5.781e-19,5.073e-19,2.886e-19,-0.0002,-104.15,0
FrontS037990,24.9017,9.8316,5.118e-19,4.998e-19,3.401e-19,0.0001,-109.46,0
FrontS037991,24.9222,9.8315,2.454e-18,2.074e-18,1.058e-18,0.0006,-108.38,0
FrontS037993,24.8444,9.8256,9.400e-18,7.511e-18,3.626e-18,-0.0006,-108.46,0
FrontS037996,24.8595,9.8224,7.259e-20,8.478e-20,8.530e-20,-0.0007,-107.65,0
FrontS037998,24.9306,9.8344,5.743e-20,6.678e-20,6.439e-20,-0.0008,-105.72,0
FrontS038002,24.9088,9.8136,1.226e-18,1.072e-18,5.904e-19,-0.0005,-104.26,0
FrontS038005,24.9057,9.8395,3.550e-19,6.158e-19,1.410e-18,-0.0003,-108.54,0
FrontS038006,24.8882,9.8421,1.477e-19,1.579e-19,1.327e-19,0.0007,-105.74,0
FrontS038010,24.9274,9.8054,1.340e-20,1.782e-20,2.280e-20,0.0002,-104.75,0
FrontS038012,24.9308,9.8044,4.774e-19,4.583e-19,2.985e-19,0.0007,-108.55,0
FrontS038013,24.9086,9.8447,2.791e-20,3.459e-20,3.843e-20,-0.0001,-108.41,0
FrontS038016,24.9449,9.8474,8.379e-19,7.553e-19,4.386e-19,0.0004,-103.99,0
FrontS038019,24.8813,9.7977,2.085e-20,2.696e-20,3.168e-20,-0.0,-105.89,0
FrontS038020,24.8892,9.7867,1.200e-18,1.092e-18,6.700e-19,-0.0018,-108.36,0
FrontS038021,24.9253,9.8343,7.834e-20,8.658e-20,7.602e-20,0.0008,-109.69,0
FrontS038022,24.9602,9.8299,1.352e-18,2.041e-18,3.453e-18,-0.0005,-110.52,0
FrontS038025,24.9046,9.7987,8.440e-19,7.829e-19,4.795e-19,-0.0,-105.01,0
FrontS038028,24.9006,9.8226,4.800e-18,3.935e-18,1.874e-18,-0.0001,-108.81,0
